Product Code,Name,Brand,Category Hierarchy,Stock,Price,Size,EAN,SKU
BP_102139097,Eau de parfum,CASTELBAJAC,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,60.19,100ML,3516642142314,102139097
BP_100024081,Eau de Toilette Vaporisateur,Rochas,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,74.99,50ML,3386460076272,100024081
BP_101926208,Eau de parfum,LancÃ´me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,43.0,15ML,3614273088657,101926208
BP_102400742,Parfum,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3614273776134,102400742
BP_102199209,Eau de parfum,HermÃ¨s,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,149.99,50ML,3346130011262,102199209
BP_102486099,Eau de parfum,CACHAREL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,47.99,30ML,3614273756402,102486099
BP_102561159,Eau de parfum,Nina Ricci,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,73.99,30ML,3137370359500,102561159
BP_100004208,Eau de toilette,CACHAREL,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,35.0,30ML,3360373063680,100004208
BP_102293271,Mandarine basilic â€“ eau de toilette rechargeable,Guerlain,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,108.0,75ML,3346470143944,102293271
BP_100213960,Eau de parfum,DIESEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,39.0,30ML,3605521132499,100213960
BP_100934100,Eau de parfum,ZADIG & VOLTAIRE,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,67.99,30ML,3423474891658,100934100
BP_102820131,Orange horizon,Rochas,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,68.59,100ML,3386460146395,102820131
BP_102168331,Eau de toilette,HermÃ¨s,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,83.99,30ML,3346130008453,102168331
BP_100158286,Eau de parfum,Kenzo,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,69.99,30ML,3274872404113,100158286
BP_100028447,Eau de parfum,EMANUEL UNGARO,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,82.99,50ML,8052464893638,100028446
BP_100028552,Eau de Parfum,Van Cleef & Arpels,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,95.19,100ML,3386460005043,101408224
BP_100644284,Eau de toilette,HermÃ¨s,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,114.99,50ML,3346132600044,100644284
BP_102582304,Eau de parfum,GIVENCHY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,78.0,35ML,3274872456129,102582304
BP_100009407,Eau de Toilette Vaporisateur,DIOR,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,87.99,30ML,3348900378551,100009407
BP_102386506,Eau de toilette,GIVENCHY,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,78.99,35ML,3274872441965,102386506
BP_101944123,Eau de parfum intense,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,95.99,30ML,3614273069533,101944123
BP_102399171,Eau de parfum,Rabanne,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,75.99,30ML,3349668594603,102399171
BP_100011712,Eau De Toilette Vaporisateur,Jean Paul Gaultier,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,98.0,50ML,3423470317107,100011715
BP_100168767,Eau de Parfum,Guerlain,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,88.0,30ML,3346470113534,100168767
BP_102610459,Eau de parfum,DOLCE&GABBANA,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,84.0,30ML,8057971183715,102610459
BP_100005205,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,107.99,35ML,3145891124408,100005205
BP_100024199,Eau de toilette,Narciso Rodriguez,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,78.0,30ML,3423470890013,100465382
BP_102109146,Eau de Toilette,GIVENCHY,Parfum/Parfum Femme/Eau de toilette/undefined,inStock,108.99,50ML,3274872419292,102109154
BP_102937161,Eau de parfum,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,97.99,30ML,3614274067002,102937161
BP_100017393,LANCÃ”ME TrÃ©sor Eau de Parfum,LancÃ´me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,84.99,30ML,3147758034905,100017393
BP_100020892,Angel Ã‰toile Nomade RessourÃ§able,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,95.99,25ML,3439600056525,100020892
BP_100020970,Alien Eau de Parfum Vaporisateur RessourÃ§able,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,98.99,30ML,3439600056914,100020970
BP_102595148,Eau de parfum - rechargeable,BURBERRY,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,83.0,30ML,3616302020645,102595148
BP_102600293,Parfum,Rabanne,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,77.99,30ML,3349668614646,102600293
BP_102835164,Eau de parfum,CHLOE,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,91.99,30ML,3616303477936,102835164
BP_101161102,Eau de Parfum Orient,La Sultane de Saba,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,65.79,100ML,3700448601919,101161102
BP_102903219,Eau de parfum,LancÃ´me,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,79.99,30ML,3614274103007,102903219
BP_102406175,Eau de parfum,Carolina Herrera,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,81.0,30ML,8411061041673,102406175
BP_100005138,EAU DE PARFUM VAPORISATEUR,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,107.99,30ML,3145891264302,100005138
BP_102046131,Eau de parfum,CHANEL,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,154.99,50ML,3145891262506,102046131
BP_102904158,Eau de parfum,Narciso Rodriguez,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,89.99,30ML,3423222107604,102904158
BP_100899295,Eau de Parfum Vaporisateur,Yves Saint Laurent,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,90.99,30ML,3614270561665,100899295
BP_102394135,Eau de parfum - recharge,Mugler,Parfum/Parfum Femme/Eau de parfum/undefined,inStock,120.39,100ML,3614273764209,102394135
